eKE_eV,beta
1.000000000000000021e-02,-1.062246152691866466e-02
8.894736842105262220e-02,-9.699429808274123710e-02
1.678947368421052633e-01,-1.859151168255672171e-01
2.468421052631578905e-01,-2.768012194085447408e-01
3.257894736842105177e-01,-3.687498474443253738e-01
4.047368421052631726e-01,-4.606025464637999445e-01
4.836842105263157721e-01,-5.509259968027864218e-01
5.626315789473683715e-01,-6.380083180828197698e-01
6.415789473684210265e-01,-7.198781203913364735e-01
7.205263157894736814e-01,-7.943533979793789834e-01
7.994736842105263364e-01,-8.591254958060416946e-01
8.784210526315788803e-01,-9.118793415646438971e-01
9.573684210526315352e-01,-9.504449153617977597e-01
1.036315789473684079e+00,-9.729673155297092757e-01
1.115263157894736734e+00,-9.780754931765547333e-01
1.194210526315789389e+00,-9.650251375238573237e-01
1.273157894736842044e+00,-9.337915319452610996e-01
1.352105263157894699e+00,-8.850945152841508401e-01
1.431052631578947354e+00,-8.203490467449817691e-01
1.510000000000000009e+00,-7.415484039407123085e-01
