D,m,N,theta,Re_Omega,Re_Ref_Ylm,L_eff,l_pure
0,0,1,0.282743,0.469202,0.469202,1,1
0,0,1,0.314159,0.464689,0.464689,1,1
0,0,1,0.345575,0.459717,0.459717,1,1
0,0,1,0.376991,0.454291,0.454291,1,1
0,0,1,0.408407,0.448417,0.448417,1,1
0,0,1,0.439823,0.442101,0.442101,1,1
0,0,1,0.471239,0.435348,0.435348,1,1
0,0,1,0.502655,0.428166,0.428166,1,1
0,0,1,0.534071,0.420561,0.420561,1,1
0,0,1,0.565487,0.412541,0.412541,1,1
0,0,1,0.596903,0.404114,0.404114,1,1
0,0,1,0.628319,0.395288,0.395288,1,1
0,0,1,0.659734,0.386072,0.386072,1,1
0,0,1,0.69115,0.376475,0.376475,1,1
0,0,1,0.722566,0.366506,0.366506,1,1
0,0,1,0.753982,0.356176,0.356176,1,1
0,0,1,0.785398,0.345494,0.345494,1,1
0,0,1,0.816814,0.334471,0.334471,1,1
0,0,1,0.84823,0.323119,0.323119,1,1
0,0,1,0.879646,0.311447,0.311447,1,1
0,0,1,0.911062,0.299468,0.299468,1,1
0,0,1,0.942478,0.287193,0.287193,1,1
0,0,1,0.973894,0.274635,0.274635,1,1
0,0,1,1.00531,0.261806,0.261806,1,1
0,0,1,1.03673,0.248719,0.248719,1,1
0,0,1,1.06814,0.235386,0.235386,1,1
0,0,1,1.09956,0.221821,0.221821,1,1
0,0,1,1.13097,0.208037,0.208037,1,1
0,0,1,1.16239,0.194047,0.194047,1,1
0,0,1,1.19381,0.179867,0.179867,1,1
0,0,1,1.22522,0.165508,0.165508,1,1
0,0,1,1.25664,0.150986,0.150986,1,1
0,0,1,1.28805,0.136316,0.136316,1,1
0,0,1,1.31947,0.121511,0.121511,1,1
0,0,1,1.35088,0.106585,0.106585,1,1
0,0,1,1.3823,0.091555,0.091555,1,1
0,0,1,1.41372,0.0764343,0.0764343,1,1
0,0,1,1.44513,0.0612381,0.0612381,1,1
0,0,1,1.47655,0.0459816,0.0459816,1,1
0,0,1,1.50796,0.0306796,0.0306796,1,1
0,0,1,1.53938,0.0153474,0.0153474,1,1
0,0,1,1.5708,2.99183e-17,2.99183e-17,1,1
0,0,1,1.60221,-0.0153474,-0.0153474,1,1
0,0,1,1.63363,-0.0306796,-0.0306796,1,1
0,0,1,1.66504,-0.0459816,-0.0459816,1,1
0,0,1,1.69646,-0.0612381,-0.0612381,1,1
0,0,1,1.72788,-0.0764343,-0.0764343,1,1
0,0,1,1.75929,-0.091555,-0.091555,1,1
