D,m,N,r,Re_Radial,Re_Ref_Bessel,L_eff,l_pure
0,0,0,10.9,-0.0913244,-0.0913244,0,0
0,0,0,11,-0.0909082,-0.0909082,0,0
0,0,0,11.1,-0.0895993,-0.0895993,0,0
0,0,0,11.2,-0.0874266,-0.0874266,0,0
0,0,0,11.3,-0.0844265,-0.0844265,0,0
0,0,0,11.4,-0.0806429,-0.0806429,0,0
0,0,0,11.5,-0.0761263,-0.0761263,0,0
0,0,0,11.6,-0.0709335,-0.0709335,0,0
0,0,0,11.7,-0.0651268,-0.0651268,0,0
0,0,0,11.8,-0.0587733,-0.0587733,0,0
0,0,0,11.9,-0.0519443,-0.0519443,0,0
0,0,0,12,-0.0447144,-0.0447144,0,0
0,0,0,12.1,-0.0371609,-0.0371609,0,0
0,0,0,12.2,-0.0293631,-0.0293631,0,0
0,0,0,12.3,-0.021401,-0.021401,0,0
0,0,0,12.4,-0.0133552,-0.0133552,0,0
0,0,0,12.5,-0.00530575,-0.00530575,0,0
0,0,0,12.6,0.0026685,0.0026685,0,0
0,0,0,12.7,0.0104907,0.0104907,0,0
0,0,0,12.8,0.0180867,0.0180867,0,0
0,0,0,12.9,0.0253856,0.0253856,0,0
0,0,0,13,0.0323205,0.0323205,0,0
0,0,0,13.1,0.0388291,0.0388291,0,0
0,0,0,13.2,0.0448541,0.0448541,0,0
0,0,0,13.3,0.0503436,0.0503436,0,0
0,0,0,13.4,0.0552519,0.0552519,0,0
0,0,0,13.5,0.0595396,0.0595396,0,0
0,0,0,13.6,0.0631737,0.0631737,0,0
0,0,0,13.7,0.0661281,0.0661281,0,0
0,0,0,13.8,0.0683837,0.0683837,0,0
0,0,0,13.9,0.0699286,0.0699286,0,0
0,0,0,14,0.0707577,0.0707577,0,0
0,0,0,14.1,0.070873,0.070873,0,0
0,0,0,14.2,0.0702836,0.0702836,0,0
0,0,0,14.3,0.069005,0.069005,0,0
0,0,0,14.4,0.0670596,0.0670596,0,0
0,0,0,14.5,0.0644755,0.0644755,0,0
0,0,0,14.6,0.0612871,0.0612871,0,0
0,0,0,14.7,0.0575338,0.0575338,0,0
0,0,0,14.8,0.0532603,0.0532603,0,0
0,0,0,14.9,0.0485155,0.0485155,0,0
0,0,0,15,0.0433525,0.0433525,0,0
0,0,0,15.1,0.0378276,0.0378276,0,0
0,0,0,15.2,0.0319999,0.0319999,0,0
0,0,0,15.3,0.0259308,0.0259308,0,0
0,0,0,15.4,0.019683,0.019683,0,0
0,0,0,15.5,0.0133205,0.0133205,0,0
0,0,0,15.6,0.00690729,0.00690729,0,0
0,0,0,15.7,0.000507209,0.000507209,0,0
0,0,0,15.8,-0.00581689,-0.00581689,0,0
0,0,0,15.9,-0.0120037,-0.0120037,0,0
0,0,0,16,-0.017994,-0.017994,0,0
0,0,0,16.1,-0.0237311,-0.0237311,0,0
0,0,0,16.2,-0.0291619,-0.0291619,0,0
0,0,0,16.3,-0.0342363,-0.0342363,0,0
0,0,0,16.4,-0.0389089,-0.0389089,0,0
0,0,0,16.5,-0.0431385,-0.0431385,0,0
0,0,0,16.6,-0.0468887,-0.0468887,0,0
0,0,0,16.7,-0.0501283,-0.0501283,0,0
0,0,0,16.8,-0.0528314,-0.0528314,0,0
0,0,0,16.9,-0.0549778,-0.0549778,0,0
0,0,0,17,-0.0565528,-0.0565528,0,0
0,0,0,17.1,-0.0575477,-0.0575477,0,0
0,0,0,17.2,-0.0579593,-0.0579593,0,0
0,0,0,17.3,-0.0577904,-0.0577904,0,0
0,0,0,17.4,-0.0570494,-0.0570494,0,0
0,0,0,17.5,-0.0557501,-0.0557501,0,0
0,0,0,17.6,-0.0539116,-0.0539116,0,0
0,0,0,17.7,-0.0515583,-0.0515583,0,0
0,0,0,17.8,-0.0487192,-0.0487192,0,0
0,0,0,17.9,-0.0454278,-0.0454278,0,0
0,0,0,18,-0.0417215,-0.0417215,0,0
0,0,0,18.1,-0.0376416,-0.0376416,0,0
0,0,0,18.2,-0.0332326,-0.0332326,0,0
0,0,0,18.3,-0.0285415,-0.0285415,0,0
0,0,0,18.4,-0.0236177,-0.0236177,0,0
0,0,0,18.5,-0.0185125,-0.0185125,0,0
0,0,0,18.6,-0.0132782,-0.0132782,0,0
0,0,0,18.7,-0.00796786,-0.00796786,0,0
0,0,0,18.8,-0.00263487,-0.00263487,0,0
0,0,0,18.9,0.00266787,0.00266787,0,0
0,0,0,19,0.00788827,0.00788827,0,0
0,0,0,19.1,0.0129756,0.0129756,0,0
0,0,0,19.2,0.017881,0.017881,0,0
0,0,0,19.3,0.0225578,0.0225578,0,0
0,0,0,19.4,0.0269622,0.0269622,0,0
0,0,0,19.5,0.0310533,0.0310533,0,0
0,0,0,19.6,0.0347941,0.0347941,0,0
0,0,0,19.7,0.0381509,0.0381509,0,0
0,0,0,19.8,0.0410946,0.0410946,0,0
0,0,0,19.9,0.0436002,0.0436002,0,0
0,0,0,20,0.0456473,0.0456473,0,0
0,0,1,0.1,0.0333,0.0333,1,1
0,0,1,0.2,0.0664004,0.0664004,1,1
0,0,1,0.3,0.0991029,0.0991029,1,1
0,0,1,0.4,0.131212,0.131212,1,1
0,0,1,0.5,0.162537,0.162537,1,1
0,0,1,0.6,0.192892,0.192892,1,1
0,0,1,0.7,0.222098,0.222098,1,1
0,0,1,0.8,0.249986,0.249986,1,1
0,0,1,0.9,0.276393,0.276393,1,1
0,0,1,1,0.301169,0.301169,1,1
0,0,1,1.1,0.324175,0.324175,1,1
0,0,1,1.2,0.345285,0.345285,1,1
0,0,1,1.3,0.364384,0.364384,1,1
0,0,1,1.4,0.381375,0.381375,1,1
0,0,1,1.5,0.396173,0.396173,1,1
0,0,1,1.6,0.408708,0.408708,1,1
0,0,1,1.7,0.418927,0.418927,1,1
0,0,1,1.8,0.426794,0.426794,1,1
0,0,1,1.9,0.432285,0.432285,1,1
0,0,1,2,0.435398,0.435398,1,1
0,0,1,2.1,0.436142,0.436142,1,1
0,0,1,2.2,0.434545,0.434545,1,1
0,0,1,2.3,0.43065,0.43065,1,1
0,0,1,2.4,0.424515,0.424515,1,1
0,0,1,2.5,0.416213,0.416213,1,1
0,0,1,2.6,0.40583,0.40583,1,1
0,0,1,2.7,0.393467,0.393467,1,1
0,0,1,2.8,0.379236,0.379236,1,1
0,0,1,2.9,0.363261,0.363261,1,1
0,0,1,3,0.345677,0.345677,1,1
0,0,1,3.1,0.326628,0.326628,1,1
0,0,1,3.2,0.306267,0.306267,1,1
0,0,1,3.3,0.284751,0.284751,1,1
0,0,1,3.4,0.262247,0.262247,1,1
0,0,1,3.5,0.238924,0.238924,1,1
0,0,1,3.6,0.214954,0.214954,1,1
0,0,1,3.7,0.190514,0.190514,1,1
0,0,1,3.8,0.165777,0.165777,1,1
0,0,1,3.9,0.140918,0.140918,1,1
0,0,1,4,0.116111,0.116111,1,1
0,0,1,4.1,0.091523,0.091523,1,1
0,0,1,4.2,0.0673197,0.0673197,1,1
0,0,1,4.3,0.0436598,0.0436598,1,1
0,0,1,4.4,0.0206954,0.0206954,1,1
0,0,1,4.5,-0.00142958,-0.00142958,1,1
0,0,1,4.6,-0.0225798,-0.0225798,1,1
0,0,1,4.7,-0.04263,-0.04263,1,1
0,0,1,4.8,-0.0614653,-0.0614653,1,1
0,0,1,4.9,-0.0789822,-0.0789822,1,1
0,0,1,5,-0.0950894,-0.0950894,1,1
0,0,1,5.1,-0.109708,-0.109708,1,1
0,0,1,5.2,-0.122771,-0.122771,1,1
0,0,1,5.3,-0.134228,-0.134228,1,1
0,0,1,5.4,-0.144037,-0.144037,1,1
0,0,1,5.5,-0.152173,-0.152173,1,1
0,0,1,5.6,-0.158624,-0.158624,1,1
0,0,1,5.7,-0.16339,-0.16339,1,1
0,0,1,5.8,-0.166487,-0.166487,1,1
0,0,1,5.9,-0.16794,-0.16794,1,1
0,0,1,6,-0.16779,-0.16779,1,1
0,0,1,6.1,-0.166087,-0.166087,1,1
0,0,1,6.2,-0.162894,-0.162894,1,1
0,0,1,6.3,-0.158284,-0.158284,1,1
0,0,1,6.4,-0.15234,-0.15234,1,1
0,0,1,6.5,-0.145153,-0.145153,1,1
0,0,1,6.6,-0.136823,-0.136823,1,1
0,0,1,6.7,-0.127456,-0.127456,1,1
0,0,1,6.8,-0.117167,-0.117167,1,1
0,0,1,6.9,-0.106071,-0.106071,1,1
0,0,1,7,-0.0942924,-0.0942924,1,1
0,0,1,7.1,-0.0819542,-0.0819542,1,1
0,0,1,7.2,-0.0691833,-0.0691833,1,1
0,0,1,7.3,-0.0561068,-0.0561068,1,1
0,0,1,7.4,-0.0428514,-0.0428514,1,1
0,0,1,7.5,-0.0295425,-0.0295425,1,1
0,0,1,7.6,-0.0163029,-0.0163029,1,1
0,0,1,7.7,-0.00325199,-0.00325199,1,1
0,0,1,7.8,0.00949525,0.00949525,1,1
0,0,1,7.9,0.0218292,0.0218292,1,1
0,0,1,8,0.0336462,0.0336462,1,1
0,0,1,8.1,0.0448498,0.0448498,1,1
0,0,1,8.2,0.055351,0.055351,1,1
0,0,1,8.3,0.0650689,0.0650689,1,1
0,0,1,8.4,0.0739317,0.0739317,1,1
0,0,1,8.5,0.0818767,0.0818767,1,1
0,0,1,8.6,0.0888506,0.0888506,1,1
0,0,1,8.7,0.0948103,0.0948103,1,1
0,0,1,8.8,0.0997228,0.0997228,1,1
0,0,1,8.9,0.103565,0.103565,1,1
0,0,1,9,0.106325,0.106325,1,1
0,0,1,9.1,0.107999,0.107999,1,1
0,0,1,9.2,0.108595,0.108595,1,1
0,0,1,9.3,0.10813,0.10813,1,1
0,0,1,9.4,0.106631,0.106631,1,1
0,0,1,9.5,0.104133,0.104133,1,1
0,0,1,9.6,0.10068,0.10068,1,1
0,0,1,9.7,0.0963246,0.0963246,1,1
0,0,1,9.8,0.0911256,0.0911256,1,1
0,0,1,9.9,0.085149,0.085149,1,1
0,0,1,10,0.0784669,0.0784669,1,1
0,0,1,10.1,0.0711564,0.0711564,1,1
0,0,1,10.2,0.0632991,0.0632991,1,1
0,0,1,10.3,0.05498,0.05498,1,1
0,0,1,10.4,0.0462871,0.0462871,1,1
0,0,1,10.5,0.0373101,0.0373101,1,1
0,0,1,10.6,0.02814,0.02814,1,1
0,0,1,10.7,0.0188677,0.0188677,1,1
0,0,1,10.8,0.00958356,0.00958356,1,1
0,0,1,10.9,0.000376553,0.000376553,1,1
0,0,1,11,-0.00866672,-0.00866672,1,1
0,0,1,11.1,-0.0174626,-0.0174626,1,1
0,0,1,11.2,-0.0259314,-0.0259314,1,1
0,0,1,11.3,-0.0339975,-0.0339975,1,1
0,0,1,11.4,-0.0415907,-0.0415907,1,1
0,0,1,11.5,-0.0486462,-0.0486462,1,1
0,0,1,11.6,-0.0551054,-0.0551054,1,1
0,0,1,11.7,-0.0609165,-0.0609165,1,1
0,0,1,11.8,-0.0660344,-0.0660344,1,1
0,0,1,11.9,-0.0704214,-0.0704214,1,1
0,0,1,12,-0.0740474,-0.0740474,1,1
0,0,1,12.1,-0.0768898,-0.0768898,1,1
0,0,1,12.2,-0.0789342,-0.0789342,1,1
0,0,1,12.3,-0.0801735,-0.0801735,1,1
0,0,1,12.4,-0.0806087,-0.0806087,1,1
0,0,1,12.5,-0.0802483,-0.0802483,1,1
0,0,1,12.6,-0.0791084,-0.0791084,1,1
0,0,1,12.7,-0.0772121,-0.0772121,1,1
0,0,1,12.8,-0.0745895,-0.0745895,1,1
0,0,1,12.9,-0.0712771,-0.0712771,1,1
0,0,1,13,-0.0673174,-0.0673174,1,1
0,0,1,13.1,-0.0627586,-0.0627586,1,1
0,0,1,13.2,-0.0576538,-0.0576538,1,1
0,0,1,13.3,-0.0520606,-0.0520606,1,1
0,0,1,13.4,-0.0460404,-0.0460404,1,1
0,0,1,13.5,-0.0396579,-0.0396579,1,1
0,0,1,13.6,-0.0329802,-0.0329802,1,1
0,0,1,13.7,-0.0260764,-0.0260764,1,1
0,0,1,13.8,-0.0190167,-0.0190167,1,1
0,0,1,13.9,-0.011872,-0.011872,1,1
0,0,1,14,-0.00471282,-0.00471282,1,1
0,0,1,14.1,0.00239111,0.00239111,1,1
0,0,1,14.2,0.0093715,0.0093715,1,1
0,0,1,14.3,0.0161622,0.0161622,1,1
0,0,1,14.4,0.0226998,0.0226998,1,1
0,0,1,14.5,0.0289241,0.0289241,1,1
0,0,1,14.6,0.0347789,0.0347789,1,1
0,0,1,14.7,0.0402121,0.0402121,1,1
0,0,1,14.8,0.0451765,0.0451765,1,1
0,0,1,14.9,0.04963,0.04963,1,1
0,0,1,15,0.053536,0.053536,1,1
0,0,1,15.1,0.0568636,0.0568636,1,1
0,0,1,15.2,0.059588,0.059588,1,1
0,0,1,15.3,0.0616903,0.0616903,1,1
0,0,1,15.4,0.0631582,0.0631582,1,1
0,0,1,15.5,0.0639854,0.0639854,1,1
0,0,1,15.6,0.0641721,0.0641721,1,1
0,0,1,15.7,0.0637246,0.0637246,1,1
0,0,1,15.8,0.0626551,0.0626551,1,1
0,0,1,15.9,0.060982,0.060982,1,1
0,0,1,16,0.0587291,0.0587291,1,1
0,0,1,16.1,0.0559256,0.0559256,1,1
0,0,1,16.2,0.0526056,0.0526056,1,1
0,0,1,16.3,0.0488079,0.0488079,1,1
0,0,1,16.4,0.0445755,0.0445755,1,1
0,0,1,16.5,0.0399551,0.0399551,1,1
