eKE,SigmaPar,SigmaPerp,Beta
0.0001,2.71084,2.7468,-0.00876622
0.001,2.54005,2.57812,-0.00989383
0.005,2.40379,2.45854,-0.0149559
0.01,2.32533,2.40139,-0.0213389
0.025,2.17194,2.30991,-0.0406291
0.05,1.98149,2.21531,-0.0729328
0.075,1.82057,2.14174,-0.105232
0.1,1.67689,2.07761,-0.137419
0.2,1.21325,1.86537,-0.263801
0.3,0.873581,1.69119,-0.384219
0.4,0.621738,1.54086,-0.496359
0.5,0.435432,1.40868,-0.598407
