eKE,SigmaPar,SigmaPerp,Beta
0.0001,2.21762,2.21806,-0.00013459
0.001,2.21166,2.21613,-0.00134583
0.005,2.18538,2.20758,-0.00672766
0.01,2.15291,2.19694,-0.0134514
0.025,2.05807,2.16539,-0.0335959
0.05,1.90825,2.11401,-0.0670636
0.075,1.76819,2.06408,-0.100365
0.1,1.6373,2.01556,-0.133464
0.2,1.1949,1.83473,-0.263068
0.3,0.86036,1.67321,-0.386447
0.4,0.609417,1.52872,-0.501412
0.5,0.422996,1.3993,-0.606099
