eKE,SigmaPar,SigmaPerp,Beta
0.0001,44.718,49.3027,-0.0639763
0.001,20.7119,22.8527,-0.0644642
0.005,11.9889,13.2772,-0.0668496
0.01,9.39064,10.4532,-0.0701444
0.025,6.64173,7.52131,-0.081126
0.05,4.91236,5.74476,-0.101501
0.075,3.99107,4.83444,-0.12348
0.1,3.36727,4.23476,-0.146575
0.2,1.96391,2.92317,-0.245642
0.3,1.24137,2.24032,-0.349163
0.4,0.806038,1.79921,-0.450985
0.5,0.530364,1.48648,-0.545834
